Tweet,labels_for_settingB
i just wanna be in a groupchat why is that so bad,0
a foot of new snow?? okay. time to ski! #cowx #snow,1
found it in my freezer. never too old #nephew,1
 //- nurturing parent is not going to make him homosexual. dude loves raven and wants to grow up to be me.<love>,1
 is the most amazing friend evers,1
 i don't think people want my face everywhere unfortunately,0
. &amp; doing the colorado v arizona game. it's like a broadcasting dream team ! awesome,1
wooow all my confidence just went down the drain.,0
fake ppl r always going to be fake!!!,0
happy 15th birthday infest! last resort &amp; between angels and insects are my favorite from this album!,1
i love having an bumper sticker on my car <love>,1
for once in there fuckin life a swear they hink ma dads hoose is there own but it's no,0
 yeah. i don't think i would have wanted that job. <happy>,0
 do you ever think about leaving people alone?!,0
i could punch the girl who told me the wrong due date for the assignment. i wanna cryyyyyy,0
encourage your child to express their creativity in political and social terms.,1
so happy to have tmw off,1
 could not agree more. some of the best sketch comedy you'll see as a result.,1
 ily2. my boobs look great in your screensaver holy moly i'd fuck me,1
 i hope to shoot one this summer i didn't get drawn last year so hopefully this year i will,1
he chuckled while pulling on kayla's leash come. to the study (dms) with you.,1
 you know pacquiao is a world famous bigot right? hates women. gays. the lot!,0
18 chances you will not regret taking in life,1
 &amp; u know how the cna class already costs money like $800+ i was scared to mess up with that kine of money. u know what i mean,0
 you've been hacked buddy. got a weird dm from you...!,0
first order analysis? nuclear explosion would cause a really crap version of groundhog day. species reach the end of a line.,0
whoever will not receive you nor hear your words. when you depart from that house or city. shake off the dust from your feet. matthew 10:14,1
 okay we will be at home. taking a nap just come in,1
i'm having spaghetti saturday night for dinner! i'm excited!! spaghetti is my most favorite food in the whole entire universe!!!,1
 i love this show,1
being an adult is difficult.,0
 there was some romance in good results being surprising but i certainly wouldn't swap toby &amp; tadic for tahar &amp; telfer!,1
we are here to laugh at the odds and to live our lives so well that death will tremble to take us-- charles bukowski,1
 i still love hb,1
it's a mistake. if you mess up and,0
till' u gone.. : they never appreciate you  : they never say they love you in the present tense,0
 you me and and a few other people tweeted that all at the same time. haha,1
god definitely has a sense of humor. #granderplan,1
practicing slowness &amp; being present,1
 sending love#light# blessings to your beautiful kid..,1
 in lieu of cassie. alberto meet maureen. simon's biggest fan ever. a very formidable creative genius.,1
 lolol homie that's fucked up!!,0
something about the #gut! happy tummy=happy babies. mommies. daddies. kiddos. tweens and teens. remember the gut...,1
 i want to win a prize pack it's my twins birthday too soon,1
be grown &amp; own up to keeping your word . i hate liars they make me sick,0
i cant stop trying on my schpol uniform. what a loser,0
feel like i've become a retweet but all in a good cause,1
for a second. i was so happy that people were reading the best part of jojo.,1
 absolutely. love that! <happy>,1
 happy birthday girl!,1
 hahaha i hate you chandy,0
you confused fr ,0
i'm not going to forgive someone's views that are harmful to me just because you like most of their views on other people. i don't care.,0
this is really funny lol.,1
two new pictures of harry today he's so lovely all the time i cant breathshgdh,1
surround yourself with those who bring out the best in you. not the stress in you.,1
i can't believe i miss #oomf..,0
the best 5min highlight package i have seen in a long time,1
 i hope so. our pass rush is terrible and freeney is old and injury prone. should have found room.,1
 well no i know i dont. moral of the story my accent is nothing and is boring and i want a new one,0
i literally bitch about them ppl who i hate the most! i do it here..in twitter!!,0
cute dogs and good flavored lemonade have my heart,1
wow. the first time i trust daniel with an ugly snapchat &amp; he loses it. now it's been posted. ok.,0
dont be afraid .. #goodmorning #live #life #qoutes #qotd #motivation #instapic,1
#kidsareheroes is looking for outreach leaders in your area!,1
im so mad right now you dont even understand,0
 youre a fucking cunt,0
are you ready to #holdon today?,1
new year. new you? celebrate by getting your good selves to tonight from 5pm &amp; party like it's 2015!,1
 when the whole arum story sounds rotten. the wrong year matters,0
oh man professor phipps is strugglin,0
food is so great,1
everyday i'm working on becoming a better me...#everyday,1
trying and doing are two different things. when you try. you hope. when you do. you succeed.,1
 <sad> i just read the blog it's got me in tears...,0
worked with someone twice a week for a year - he says this is the first time i have heard you laughing. it's clear i'm a joy to work with.,1
another lovely post about #boston. thanks nora roberts official fan page for this thought.,1
people who regularly play video games are faster at making real-life decisions.,1
those bright blue eyes send ecstasy through my skin. and oh how i enjoy it.,1
smartest people see the world through different set of eyes.they treat all nicely &amp; helps them achieve their purpose.this makes them leader.,1
the thing is that i'm scared cause i know that as soon as i lose my self-control it ain't gonna end pretty,0
 ahh damn im sorry jas...but it means they are stalking you lol,0
: christmas coming up got me like,1
any bitch after me is a downgrade #asshole,0
mental disorders will always be a sensitive subject with me. so. i don't like when diagnose themselves on here.,0
 ohhhhhhh god im sick of sleeping alone,0
 love the name bars. and that finally somebody is wearing my number #6,1
 suck my dick,0
 guess what started tonight? ? lol ,1
always tell the truth. if you can't always tell the truth. don't lie.,1
celebrate #mayday by honouring those who have fought for #workersrights by continuing to fight for the same rights.,1
let me tweet about things i'm happy about . .,1
damn they been a block away from doing that since last game #smh,0
i'm sorry. but i will have to be missing school tomorrow on account of my post-show ending grief.,0
 hahahha hahahahah love you mang,1
i would like to go to business school and become a bartender so i can open my own bar down the line.,1
a girl with kaleidoscope eyessss. cellophane flowers of yellow and green towering over your headd,1
 chance* bugger. i hate typos.,0
i cant find the fucking trends!!!!,0
 really hope so say the english,1
life is like a camera....focus only on what is important and you will capture it perfectly.,1
another win for sherlock! #emmys2014,1
i liked a video from ,1
the new bmw i8 is beautiful,1
i feel blessed ty,1
hope to go back some day.,1
 nice meeting you (possibly again) today..,1
 disappointed if it is him. gunna have to remove him from my dream team.,0
 you are brave!,1
 when you have time to unwind download percolate by catchy hooks on itunes it'll blow your mind. thanks champ,1
