Tweet,EVENT,GENERALIZING_SENTENCE,GENERIC_SENTENCE,IMPERATIVE,QUESTION,REPORT,STATE,DYNAMIC,EPISODIC,GENERIC,HABITUAL,NON-GENERIC,STATIC,STATIVE,labels_for_settingA
" i plan to .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
"i almost forget. today makes 13 years since i had a girlfriend. that's 13 yrs having not even slept in a bed the whole night with a woman .",0.2,0.0,0.0,0.2,0.0,0.0,0.6,0.6,0.2,0.2,0.2,0.8,0.6,0.4,0
"someone come over and amputate my entire right leg its asleep and it won't wake up .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
"i put my 100% effort to do whatever you guys like. but you guys put 0.1% to me. and 0% to care for me.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
" what an abusive piece of shit. <angry> .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
"good news for those who breathe in #berks: we don't get a failing grade in air quality.",0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.5,0.0,0.5,0.0,1
"like shit that fucked me up the first time i found out .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
" this is so rude wow bridie thanx .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
" thanks for sharing xeriscape info. you can find resources &amp; plans on our website: .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
"to the cricket crazy nation's domestic talent ipl has provided a platform for showcasing their talents in an international arena.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
"i feel like throwing uo .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
" frick fine i'll write it .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
"go retweet last tweet so she can win a scholarship to msu!! .",0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,0.0,0.0,1.0,0.5,0.0,1
" could be that's her in an attempt to show him thst she's still there. he doesn't look into it st sll <skeptical> kinda .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,1.0,1.0,0.8,0
"if you want to watch a bunch of old guys hit that can't play defense &amp; don't run into walls. watch old timer softball.",0.2,0.0,0.2,0.0,0.0,0.0,0.6,0.6,0.2,0.0,0.0,1.0,0.8,0.4,0
"and like i said before- it basically is pop.",0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.5,0
" don't mind at all. it was wonderful.",0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
"#aquarius: you have sex with you is easy but annoying.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
"thanks for the music .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
"pandora ads ruin everything .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
" he is the cutest asian grandpa ever omg hahahaha .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
"omar khadr's odds of winning u.s. appeal look good. legal expert says .",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
" hehe miss u <happy> you still have yet to visit my humble abode in br .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,1
" also. arguing over facebook is just... .puts all people on mute until november 2016.",0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.5,0
"i still haven't attended class... surely i must be missing some very important things. ya neh..",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0
": i want friends i volunteer .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
"happy #freespirit friday - we are the dreamers. the lovers. believers. the change makers #freeyourmind xxx .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1
" lets get a nicki black friday lil kim inspired tattoo on a friday the 13th .",0.25,0.0,0.0,0.5,0.0,0.0,0.25,0.5,0.25,0.0,0.0,1.0,0.75,0.5,1
"ain't that the truth. where are my tauruses? .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
"well. in that case. all the better. i don't feel that bad about it anymore . {smiles} || .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
"people don't understand that models are actually fit girls too. you have no idea how much pressure they're under to stay toned.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
" im gonna crash the party .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
" lack of institutional control lol - $8k from a booster to s-a's .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
"my strength has failed before but today i place my #fears #hopes and #aspirations in your hands lord .",0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,1.0,0.6666666666666666,0.0,1
"teaching the nursery kids dance today in college has been the highlight of my week. toddlers are just the best kind of people.",0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1
" ugh i thought it was just a break. this is so sad. i loved them .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,1.0,1.0,0.75,1
" love the way hastings and grieve dissed wind farms whilst ollie demonstrated a complete ignorance of the economics .",0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0
"i'm exhausted. i barely have the strength to drink this ice cold beer. think i'll go to bed about 8. haha .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,1.0,1.0,0.75,0
"very sad to hear of the passing of nelson #mandela: a person who gave so much of his life for what he believed and inspired generations .",0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0
" i hope i didnt sound rude or something tho this design looks v cool .",0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,1.0,1.0,1
"live on sky sports across the nation and we put on a performance like this. absolutely awful.",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0
"this is why i don't like boys and i don't talk to them.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0
"i'm beyond sore today jesus fuck leave me to die .",0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0
"just because you forgive someone doesn't always mean you're inviting them back into your life. forgiveness makes letting go easier.",0.6666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,1.0,0.5,0.3333333333333333,1
" that looks like it's going to be painful later on...",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
" i know what the fuck have u created .",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.5,0
" done .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
" ask babah for wat hahaha i wanna go somewhere but that means i'd have to siap kan work tomorrow .",0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1
"i just sneezed like five times in a row .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
"without getting carried away. for the first time in ages i genuinely feel positive about the future of rangers. #watp .",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.5,1
"i feel like i've been hit by a bus multiple times in the past few days .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
"so i'm making a new playlist and then going out for a while peace .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
"fraser forster: southampton can kick on after chelsea draw: fraser forster says his confidence is high af...",0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,1
"maybe instead of getting drunk and judging my life you should pay a little more attention to your fucking kids.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
"really?? we never hear about them here. just our own politics or british parties so i didnt expect much for them .",0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0
"why can't all girls think like her?? life would be so much easier and fun instead of unnecessary drama .",0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,1.0,1.0,1
"pizza ranch when we all get back?! please?!  .",0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,0.5,1
"already thinking of a new entry for my blog #inspiration .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
"positive anything is better than negative nothing.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
" interestingly still no response!!! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
"our group presenting on #lungcancer biomarker discovery platform and on targeting bone marrow disseminated tumor cells at #acscc14. #lcsm .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
" never seen that but heard it's awesome! i love ! .",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.5,1
" congrats &amp; good luck with the new career! really going to miss seeing you in our family room every day! .",0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,1.0,0.5,0.0,1
" lol go listen to dean with dad.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5,0.0,1
"i feel sick. that indian was crap! my 3 year old could have made better and she can't even reach the fucking cooker! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0
"don't ever make me leave a show as soon as it's over. not okay.",0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0
"alright guys. i have one ticket to opening day. who wants to go with me!!?? make me an offer!! .",0.0,0.0,0.0,0.25,0.25,0.0,0.5,0.25,0.0,0.0,0.0,1.0,1.0,0.75,1
"#makesexawkwardin5words i realized i'm into dudes. xd .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
"found a snazzy bum bag for v fest lol .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
" when you can program your brain to ignore fear .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
"perhaps late to this. but #netanyahu is talking about and iran-lausanne-yemen axis. akin to a new axis of evil. it's 2003 all over again .",0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0
"i am very sure of how i feel.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
" but you are right about the difference in talent on the line. i bet chip upgrades that line in the draft.",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.5,1
" not sure if it'll work. but i know people who have used a foam roller to ease sciatica. google it. i have one. love it.",0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.5,0.0,0.16666666666666666,0.0,0.8333333333333334,1.0,0.5,1
"dont even get me started on louis. he's achieved so much at a young age and he does so many things to help everyone and be nice.",0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.0,0.5,1.0,0.3333333333333333,0.16666666666666666,1
" pacquiao was hurting mayweather. floyd should hang up the gloves and go play dodgball! .",0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
" #allow creativity to shatter you regularly# .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
" i like anacondas. not some disgusting. immature fucker .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
"happy 16th birthdayyy batchland!! turnn upp today :* xo  .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
" that's fine cheeeers <happy> .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
"but my sense of balance isn't great lol .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0
"... and there it is-- the ticking bomb... which is about to blow up thanks to owen-- in a uniform? #imsoconfused #greysanatomy .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
"i feel like protesting something. but just don't know what.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
"i could fall in love with you.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
"just wish she would've made better choices because that woman is still talented af.",0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1
"somebody killed him after he made that song. probly was a cop .",0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0
" ugh vom dot com .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
"man i'm glad i don't have to queue today it's a bit wet out there.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
