Tweet,EVENT,GENERALIZING_SENTENCE,GENERIC_SENTENCE,IMPERATIVE,QUESTION,REPORT,STATE,labels_for_settingB
"i just wanna be in a groupchat why is that so bad .",0.0,0.0,0.0,0.0,0.5,0.0,0.5,0
"a foot of new snow?? okay. time to ski! #cowx #snow .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"found it in my freezer. never too old #nephew .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
" //- nurturing parent is not going to make him homosexual. dude loves raven and wants to grow up to be me.<love> .",0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,1
" is the most amazing friend evers .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" i don't think people want my face everywhere unfortunately .",0.0,0.0,0.5,0.0,0.0,0.0,0.5,0
". &amp; doing the colorado v arizona game. it's like a broadcasting dream team ! awesome .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"wooow all my confidence just went down the drain.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"fake ppl r always going to be fake!!! .",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
"happy 15th birthday infest! last resort &amp; between angels and insects are my favorite from this album! .",0.0,0.0,0.0,0.5,0.0,0.0,0.5,1
"i love having an bumper sticker on my car <love> .",0.5,0.0,0.0,0.0,0.0,0.0,0.5,1
"for once in there fuckin life a swear they hink ma dads hoose is there own but it's no .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" yeah. i don't think i would have wanted that job. <happy> .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" do you ever think about leaving people alone?! .",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
"i could punch the girl who told me the wrong due date for the assignment. i wanna cryyyyyy .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"encourage your child to express their creativity in political and social terms.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"so happy to have tmw off .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" could not agree more. some of the best sketch comedy you'll see as a result.",0.0,0.0,0.5,0.0,0.0,0.0,0.5,1
" ily2. my boobs look great in your screensaver holy moly i'd fuck me .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" i hope to shoot one this summer i didn't get drawn last year so hopefully this year i will .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"he chuckled while pulling on kayla's leash come. to the study (dms) with you.",0.5,0.0,0.5,0.0,0.0,0.0,0.0,1
" you know pacquiao is a world famous bigot right? hates women. gays. the lot! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"18 chances you will not regret taking in life .",0.5,0.0,0.0,0.0,0.0,0.0,0.5,1
" &amp; u know how the cna class already costs money like $800+ i was scared to mess up with that kine of money. u know what i mean .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" you've been hacked buddy. got a weird dm from you...! .",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0
"first order analysis? nuclear explosion would cause a really crap version of groundhog day. species reach the end of a line.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
"whoever will not receive you nor hear your words. when you depart from that house or city. shake off the dust from your feet. matthew 10:14 .",0.25,0.0,0.25,0.25,0.0,0.0,0.25,1
" okay we will be at home. taking a nap just come in .",0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,1
"i'm having spaghetti saturday night for dinner! i'm excited!! spaghetti is my most favorite food in the whole entire universe!!! .",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1
" i love this show .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"being an adult is difficult.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
" there was some romance in good results being surprising but i certainly wouldn't swap toby &amp; tadic for tahar &amp; telfer! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"we are here to laugh at the odds and to live our lives so well that death will tremble to take us-- charles bukowski .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" i still love hb .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"it's a mistake. if you mess up and .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
