Tweet,EVENT,GENERALIZING_SENTENCE,GENERIC_SENTENCE,IMPERATIVE,QUESTION,REPORT,STATE,labels_for_settingA
"things are so much easier as friends .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"please help us build a #4charity following.  .",0.75,0.0,0.0,0.25,0.0,0.0,0.0,1
"would rather a guy be straight up about wanting fwb than leading a girl on and shit .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" dude. that guy is like...the bounty hunter among bounty hunters. i can see why ya fell for someone that badass.",0.3043478260869565,0.0,0.0,0.0,0.0,0.0,0.6956521739130435,1
"i luv . everyone tell her happy birthday.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
" all i see is ass and boobs do you see it? .",0.0,0.0,0.5555555555555556,0.3333333333333333,0.0,0.0,0.1111111111111111,0
" -__- ok. im finally here. bout to log in! .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
" love that is casually texting on the red carpet.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"my real inspiration .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"during college i'm so motivated then i get home and i'm like nahhh tv shows .",0.0,0.0,0.4,0.0,0.0,0.0,0.6,1
"i need to get the fuck out of my house .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"every time i have a dream about you all the pain comes back. and it feels so incredibly real. #forevermissingyou .",0.0,0.3684210526315789,0.3157894736842105,0.0,0.0,0.0,0.3157894736842105,0
" you're in bd right? oh hope things are fine. ..",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
" truly. madly. deeply need a new album from you. please. with a chika cherry cola on top.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"mt : winner of 2013 waterwise conservation award was tracy bouvette. #cww13 .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" there is!! it's nice to know people are here for me. <kiss> .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"had the best time now it's the worst time..but we have to say goodbye .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"i feel like i have run out of things to say about #blacklivesmatter and other people are doing a better job of discussing it than i could .",0.0,0.0,0.5217391304347826,0.0,0.0,0.0,0.4782608695652174,0
" i hope to shoot one this summer i didn't get drawn last year so hopefully this year i will .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" or. just stop watching. that is all they are interested in - viewing figures! .",0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.6666666666666666,0
"oh happy day! #soulmates .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
" goodnight baee! you made my day go from 0 to 100 real quick love you so much .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"gooood morning and happy tuesday!!!!!! you can say what you want about yoda. but he is master teacher when it...",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"managed to escape a master hangover #fresh .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
" when i watch yeldon run. he seems like a perfect fit for the colts offense .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"i feel for the oppressed. the marginalized. the abused. everyone in this country needs to stand with black people against police brutality.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"practice what you preach u acting nice on tha internet but in rl ur mean as hell ???? .",0.0,0.0,0.0,0.05882352941176471,0.0,0.0,0.9411764705882352,0
"fell asleep at half 7 last night and that's me just woke up. wow #tiredlittlegirl .",0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0
"rip tyler. you'll be missed. thanks for being a part of one of the best summers i've had! .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
" stop no one knows you stupid whore .",0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.8571428571428571,0
" happy belated birthday .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
" it's not even a t shirt.. oh well .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"is it nice out? .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
"&amp; like the worst part is we're all going down our tl &amp; know exactly what eachother's tweets are about #fuckedup .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"the worst thing is when i hear/see ignore the people and their hateful words... what do you do when those words come from your own mind?? .",0.5769230769230769,0.0,0.0,0.0,0.15384615384615385,0.1153846153846154,0.15384615384615385,0
"got too . its too late #raw  : this triple threat match gonna end in interference or some bullshit .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
"so basically what im trying to say is. don't ask me for my exam review lol .",0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0
