Tweet,Username,AverageAnnotation
did i just hear clive anderson say peter cooke is on the 'unreliable evidence' panel? excellent ,The_Bounder,1.0
anyways that's my evening thesis. write don't sing. your writing will improve immensely.,Satori_Paris,1.0
when teachers ask why im late. (vine by ),Sizzurp_713,-0.8
 hurrion in goal. haha. watch the bounce si. remember that? #frick,NathElCuchillo,0.0
 on the other hand. the both of you on the world cup team would be pretty damn sweet.,Aethien,1.0
 that's fine cheeeers <happy>,zairaafzalxx,1.75
 waltz in with your most blatantly queer attire and just be like so i heard this was the gsa,EmmaQuack,-0.2
 brow where a gash is from the fight she had been in*,sith_hannah_ace,-0.6
before: im gonna cosplay setsuna plus!!1! now: yeah thats too dear fk that gimmie a sailor seifuku,rouukun,0.2
damn i didn't know dj era was so mature in age. he looks younger.,Meet_Nallah,1.0
 no worries if not. or if somebody else has snaffled them. cheers.,MikeAlexander86,0.6
i'll be like ya medicine. you'll take every dose of me,babylexx_3,1.5
 as long as it keeps you regular then i consider that a win. in fact. i'm winning right now!,rdelvillano,1.2
miss being in a dance room,pllllayer,0.25
seattle your a fucking mess. get it together. please. your embarrassing us,Tedebearspencer,-1.2
just gonna cry now,bellzuh_,-1.2
finally knowing how he feels about me is good just wish he didnt live in a different country,Shania_Hansen,1.5
 nialler.... you actually do look drunk. no offence. you're still pref,PrincessXMalik,0.2
 students return after life-changing voyage to the #arctic with ,OpportunCity,1.4
 so you belive that lab will abandontrident despite repeatedly supporting its renewal.even though snp will oppose it,5stringpaul,-1.0
 yeah i felt at first i was bothering her because i will reach out and ask how things are but i'm glad i did tonight...,RecoveringWhite,1.0
i'm a calm girl. i know what i represent myself and what i'm worth in life. and i'm not sa...,candy_brides,1.2
 #1984play language. newspeak. - i could go on! also we v much wanted it to punch you in the stomach. just like the novel does.,robertwicke,-0.2
 if ppl  i think they do..,Sharanyashettyy,0.5
3 people followed me and 2 people unfollowed me // automatically checked by,_KayleeTho,0.0
 aw lol. well my sister's free on thursday i think so we could hang that day. <happy>,YourPainAintLuv,0.8
 i'm not playing either,tamara_kiana,-0.6
like.. why you has no drive or ambition?,Soulburn5,-1.25
 i actually hope it works....,balaneski,1.6
i woke up to a text from mu best frjend sahing that mu fave character dies in the last season and she was lyinh im so,reblogally,0.2
i'm more upset i ripped my jeans and ruined my shoes more than anything in this situation,_morgan___,-1.0
 i got an email from jeff popiel asking to confirm my address for a donation. just wondering this is legit. thanks,tukatweet,-0.6
i'm not even going to pretend to disagree with this. #saveourbees #thebeekeepersball #thetruthaboutwasps,susanwiggs,-0.5
one more thing look at the second picture. his hair is beautiful as fuck ill actually cry if he ever cuts it istg,alllovehes,1.0
and if nathan does have a decent outing brad will be like,AngryTigersFan,-0.5
i love listening to my second family on every morning,PhillipJCarter,1.2
#sagittarius loves to rediscover. from old friends to old hobbies. they like to rekindle lost interest.,SagittariusTwts,0.8
 and when you come in we will ride!,Cobblywobbly,1.25
thank you ! the cool ranch taco had finally happened!,BridgetAKennedy,1.6
so confused &amp; upset about what the fuck is happening. my god. just tell me what the fuck is going on.,PeachHayden,-2.5
i'm confused ! what i do ?,shivammay15,-0.6
bc his music is amazing,samroycexo,1.6
 *ace stays on the couch. watching and smiling*,sith_hannah_ace,1.25
#stopbbcbias why isn't ukip on at 8 tonight? we won the eu elections inc. scottish mep and third party in polls!,slouise_louise,0.0
i love it when it rains/storms it hides the tears from the world,ShadowNinja1611,-0.75
 this is the worst life. i'm going to make up my own words for buttholes. i will save the world from this plague.,therobotjane,-0.6666666666666666
 bruh they not even together lol,Shanza_k,-1.0
actually woke up before my alarm this morning. what is wrong with me,rachaellock,-0.4
 all i can say is wow!!! beautiful as always. have an awesome week!!!,tsinspired,2.4
problems r never the problem the problem is the solution. i am tired of telling to search for a key &amp; not to sit crying inside locked doors.,Ajinkyaworld,0.2
coldplay tickets have been sold - fyi. thanks for  &amp; .,cpugh,1.25
sometimes i just don't care to put my energy into some shit that gives nothing back.,sjcutie77,-1.4
 oo seryoso <sad> hahaha w0w bakasyonista daming chocolatezxs <tease>,TOUCHDOWNIALL,0.5
i do bad things when im alone so i try and be with someone always,ShadowNinja1611,0.8
but he's a good man . i think.,kennagq,1.0
 too many tweets! unfollow!,adrianraiford,-0.6
nothing like putting two things together and having it all make sense. can't even feel sorry because it was always your fault anyway,caitlynsalalala,-0.5
 oh okay. i was worried! i thought it was that but something bad. <sad>,sjcutie77,-0.6
god ok i need to. put tthe phone down and go back to dealing with,yui_shinobu,0.0
 //sure. she's sort of a villain and vigilante mixed together. her adoptive father is a vigilante and she became like him. but+,sith_hannah_ace,-1.0
 my last 27 miles weren't graceful. thighs were on the verge of cramping. walked more of the flats than i wanted to. #finished <happy>,theMonkeySmokes,0.6
shit harry styles is hot af.,sundaexo,0.6
fake ppl r always going to be fake!!!,zairentasnin,-1.75
i lost a lot of people this year,angelnieto101,-1.4
