Tweet_id,Tweet,DYNAMIC,EPISODIC,GENERIC,HABITUAL,NON-GENERIC,STATIC,STATIVE
0,"did i just hear clive anderson say peter cooke is on the 'unreliable evidence' panel? excellent .
",0.75,0.25,0.0,0.0,1.0,0.75,0.25
1,"anyways that's my evening thesis. write don't sing. your writing will improve immensely.
",0.5,0.0,0.0,0.0,1.0,1.0,0.5
2,"when teachers ask why im late. (vine by ) .
",0.5,0.5,0.0,0.0,1.0,0.5,0.5
3," hurrion in goal. haha. watch the bounce si. remember that? #frick .
",0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.6666666666666666
4," on the other hand. the both of you on the world cup team would be pretty damn sweet.
",0.0,0.0,0.0,0.0,1.0,1.0,1.0
5," that's fine cheeeers <happy> .
",0.0,0.0,0.0,0.0,1.0,1.0,1.0
6," waltz in with your most blatantly queer attire and just be like so i heard this was the gsa .
",0.25,0.25,0.0,0.0,1.0,0.75,0.75
7," brow where a gash is from the fight she had been in* .
",0.0,0.0,0.0,0.0,1.0,1.0,1.0
8,"before: im gonna cosplay setsuna plus!!1! now: yeah thats too dear fk that gimmie a sailor seifuku .
",0.5,0.5,0.0,0.0,1.0,0.5,0.5
9,"damn i didn't know dj era was so mature in age. he looks younger.
",0.0,0.0,0.0,0.0,1.0,1.0,1.0
10," no worries if not. or if somebody else has snaffled them. cheers.
",1.0,0.0,0.0,0.0,1.0,1.0,0.0
11,"i'll be like ya medicine. you'll take every dose of me .
",0.5,0.0,0.0,0.0,1.0,1.0,0.5
12," as long as it keeps you regular then i consider that a win. in fact. i'm winning right now! .
",0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666
13,"miss being in a dance room .
",0.0,0.0,0.0,0.0,1.0,1.0,1.0
14,"seattle your a fucking mess. get it together. please. your embarrassing us .
",0.5,0.0,0.0,0.5,1.0,0.5,0.5
15,"just gonna cry now .
",1.0,1.0,0.0,0.0,1.0,0.0,0.0
16,"finally knowing how he feels about me is good just wish he didnt live in a different country .
",0.25,0.0,0.0,0.0,1.0,1.0,0.75
17," nialler.... you actually do look drunk. no offence. you're still pref .
",0.0,0.0,0.0,0.0,1.0,1.0,1.0
18," students return after life-changing voyage to the #arctic with  .
",1.0,1.0,0.0,0.0,1.0,0.0,0.0
19," so you belive that lab will abandontrident despite repeatedly supporting its renewal.even though snp will oppose it .
",0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.6666666666666666
20," yeah i felt at first i was bothering her because i will reach out and ask how things are but i'm glad i did tonight...
",0.5,0.25,0.0,0.0,1.0,0.75,0.5
21,"i'm a calm girl. i know what i represent myself and what i'm worth in life. and i'm not sa...
",0.0,0.0,0.0,0.0,1.0,1.0,1.0
22," #1984play language. newspeak. - i could go on! also we v much wanted it to punch you in the stomach. just like the novel does.
",0.5,0.25,0.0,0.0,1.0,0.75,0.5
23," if ppl  i think they do..
",0.5,0.0,0.0,0.0,1.0,1.0,0.5
